Service Level,Day,Month,Temp,Calls,AHT,Talk_Time
90,Saturday,April,66.8,14398,142,773
96,Saturday,December,31.3,15626,126,700
94,Saturday,September,62.7,15686,144,805
99,Saturday,January,44.6,15866,131,794
97,Saturday,December,45.5,15896,136,800
98,Saturday,November,61.4,16198,137,831
97,Saturday,December,57.8,16247,132,779
80,Saturday,September,66.1,16264,140,812
97,Saturday,December,48.5,16309,121,645
93,Saturday,December,37.9,16429,133,778
94,Saturday,August,75.5,16437,138,834
91,Saturday,May,59.4,16444,138,830
98,Saturday,November,52.4,16612,125,700
93,Saturday,July,73.5,16637,131,791
96,Saturday,October,49.6,16699,135,850
82,Saturday,April,57.0,16738,127,777
90,Saturday,August,76.0,16751,134,840
81,Saturday,April,44.3,16818,130,780
90,Saturday,July,74.5,16883,138,833
95,Saturday,November,36.0,16890,133,824
96,Saturday,December,38.0,16893,133,853
91,Saturday,August,69.7,16908,133,818
79,Saturday,April,48.9,16954,131,775
96,Saturday,January,35.9,16959,124,706
37,Saturday,March,44.9,16992,133,745
93,Saturday,November,47.3,16995,140,885
42,Saturday,January,45.7,17011,131,724
89,Saturday,July,76.0,17107,134,857
93,Saturday,August,74.2,17203,137,886
93,Saturday,September,79.8,17240,135,861
94,Saturday,August,70.6,17294,135,847
92,Saturday,June,68.2,17392,136,887
91,Saturday,November,36.6,17464,139,906
93,Saturday,April,48.3,17497,139,893
94,Saturday,October,58.2,17536,133,830
93,Saturday,August,68.7,17569,130,821
91,Saturday,November,42.3,17614,137,883
95,Saturday,December,44.0,17683,128,737
39,Saturday,May,60.3,17733,138,760
91,Saturday,July,77.4,17825,135,876
96,Saturday,August,75.7,17877,138,886
79,Saturday,March,51.0,17962,130,799
85,Saturday,May,63.6,17966,126,827
36,Saturday,August,71.8,18043,134,738
95,Saturday,October,62.3,18051,127,795
91,Saturday,May,64.5,18051,132,863
92,Saturday,January,35.0,18102,131,835
94,Saturday,September,71.0,18177,128,822
79,Saturday,May,66.7,18207,128,809
85,Saturday,October,50.2,18237,134,925
93,Saturday,June,66.6,18288,133,887
97,Sunday,August,75.4,18313,109,691
69,Saturday,August,80.3,18320,131,838
91,Saturday,August,81.7,18344,143,959
89,Saturday,July,78.1,18353,133,911
85,Saturday,March,34.4,18380,137,894
78,Saturday,March,50.3,18381,129,826
95,Saturday,June,66.2,18419,130,872
94,Sunday,July,74.0,18530,106,664
88,Saturday,June,74.3,18549,132,905
94,Sunday,July,75.9,18586,107,678
88,Sunday,April,47.8,18669,104,648
96,Sunday,August,74.8,18682,111,720
89,Saturday,May,53.2,18689,126,861
85,Saturday,November,45.9,18698,135,935
96,Sunday,August,81.8,18819,109,716
95,Saturday,November,33.5,18895,126,733
69,Saturday,July,76.9,18896,126,791
85,Saturday,June,79.2,18983,133,951
41,Saturday,May,58.0,19111,133,762
91,Saturday,May,72.2,19145,133,935
84,Saturday,June,71.2,19203,130,884
85,Saturday,March,43.7,19268,132,780
99,Saturday,September,65.0,19277,127,831
83,Saturday,May,61.5,19338,128,910
94,Sunday,September,60.7,19592,105,686
91,Saturday,January,19.2,19739,133,936
91,Saturday,February,22.0,19780,132,909
97,Saturday,September,73.6,19790,132,900
77,Saturday,March,31.0,19810,125,863
93,Sunday,August,79.7,19883,113,770
92,Sunday,July,79.6,19902,106,734
94,Sunday,September,71.6,20089,104,706
97,Saturday,September,73.0,20092,127,912
63,Saturday,April,52.3,20107,131,880
40,Saturday,October,53.0,20141,134,716
