X,SL_YN,Temp,Calls,Talk_Time
1,1,66.8,14398,773
2,1,31.3,15626,700
3,1,62.7,15686,805
4,1,44.6,15866,794
5,1,45.5,15896,800
6,1,61.4,16198,831
7,1,57.8,16247,779
8,1,66.1,16264,812
9,1,48.5,16309,645
10,1,37.9,16429,778
11,1,75.5,16437,834
12,1,59.4,16444,830
13,1,52.4,16612,700
14,1,73.5,16637,791
15,1,49.6,16699,850
16,1,57,16738,777
17,1,76,16751,840
18,1,44.3,16818,780
19,1,74.5,16883,833
20,1,36,16890,824
21,1,38,16893,853
22,1,69.7,16908,818
23,0,48.9,16954,775
24,1,35.9,16959,706
25,0,44.9,16992,745
26,1,47.3,16995,885
27,0,45.7,17011,724
28,1,76,17107,857
29,1,74.2,17203,886
30,1,79.8,17240,861
31,1,70.6,17294,847
32,1,68.2,17392,887
33,1,36.6,17464,906
34,1,48.3,17497,893
35,1,58.2,17536,830
36,1,68.7,17569,821
37,1,42.3,17614,883
38,1,44,17683,737
39,0,60.3,17733,760
40,1,77.4,17825,876
41,1,75.7,17877,886
42,0,51,17962,799
43,1,63.6,17966,827
44,0,71.8,18043,738
45,1,62.3,18051,795
46,1,64.5,18051,863
47,1,35,18102,835
48,1,71,18177,822
49,0,66.7,18207,809
50,1,50.2,18237,925
51,1,66.6,18288,887
52,1,75.4,18313,691
53,0,80.3,18320,838
54,1,81.7,18344,959
55,1,78.1,18353,911
56,1,34.4,18380,894
57,0,50.3,18381,826
58,1,66.2,18419,872
59,1,74,18530,664
60,1,74.3,18549,905
61,1,75.9,18586,678
62,1,47.8,18669,648
63,1,74.8,18682,720
64,1,53.2,18689,861
65,1,45.9,18698,935
66,1,81.8,18819,716
67,1,33.5,18895,733
68,0,76.9,18896,791
69,1,79.2,18983,951
70,0,58,19111,762
71,1,72.2,19145,935
72,1,71.2,19203,884
73,1,43.7,19268,780
74,1,65,19277,831
75,1,61.5,19338,910
76,1,60.7,19592,686
77,1,19.2,19739,936
78,1,22,19780,909
79,1,73.6,19790,900
80,0,31,19810,863
81,1,79.7,19883,770
82,1,79.6,19902,734
83,1,71.6,20089,706
84,1,73,20092,912
85,0,52.3,20107,880
86,0,53,20141,716
87,1,79.5,20150,713
88,0,57.1,20235,864
89,1,68.6,20324,654
90,1,57.3,20540,722
91,0,57.6,20586,816
92,1,70.4,20682,691
93,1,78.6,20716,695
94,1,70.3,20746,647
95,0,71.8,20755,847
96,1,77.3,20845,694
97,1,44.3,20871,965
98,1,64,21054,754
99,1,68.9,21066,864
100,1,48.9,21188,871
101,1,44.4,21321,693
102,1,67.3,21481,913
